threads,run,time_sec
1,1,44.734
1,2,45.114
1,3,45.570
1,4,45.848
1,5,46.250
2,1,22.868
2,2,21.644
2,3,21.435
2,4,21.328
2,5,21.278
3,1,14.051
3,2,14.009
3,3,13.995
3,4,14.071
3,5,14.052
4,1,10.498
4,2,10.503
4,3,10.413
4,4,10.463
4,5,10.537
5,1,8.340
5,2,8.339
5,3,8.318
5,4,8.326
5,5,8.288
6,1,6.934
6,2,7.108
6,3,6.927
6,4,6.814
6,5,6.869
7,1,5.916
7,2,5.905
7,3,5.896
7,4,5.858
7,5,5.890
8,1,5.154
8,2,5.125
8,3,5.166
8,4,5.130
8,5,5.099
